ba|বা
bathroom|গোসলখানা
batitao|বাতিটাও
bayadop|বেয়াদপ
bazaar|বাজার
bazar|বাজার
bbc|বিবিসি
bcb|বিসিবি
bcz|কারণ
bd|বাংলাদেশ
bdrcs|বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি
be|বে
beach|সমুদ্র সৈকত
beadobi|বেয়াদবি
bebosayi|ব্যবসায়ী
bebosta|ব্যবস্থা
bebostha|ব্যবস্থা
bechar|বেঁচার
beche|বেঁচে
bed|বিছানা
bedesider|বিদেশীদের
beg|ব্যাগ
bege|ব্যাগে
beghat|ব্যাঘাত
beicha|ববেচে
beiman|বেইমান
beimani|বেইমানি
bejar|বেজার
beje|বেজে
bekala|বিকালে
bekar|বেকার
bekkha|ব্যাখ্যা
bekti|ব্যক্তি
bel|বেল
bela|বেলা
belar|বেলার
belay|বেলায়
bell|বেল
bemalum|বেমালুম
benami|বেনামি
bepar|ব্যাপার
beparta|ব্যাপারটা
ber|বের
berai|বেরাই
berano|বেরানো
berate|বেরাতে
beray|বেড়ায়
bere|বেরে
beriye|বেরিয়ে
bese|বেছে
besh|বেশ
beshi|বেশি
beshibhag|বেশিরভাগ
beshikon|বেশিক্ষণ
beshir|বেশির
beshirbhag|বেশিরভাগ
besikkhon|বেশিক্ষণ
besirvag|বেশিরভাগ
bessar|বেশ্যার
beta|বেটা
betago|বেটাগো
betay|ব্যাথায়
betha|ব্যাথা
bethai|ব্যাথায়
bethay|ব্যাথায়
beton|বেতন
beyadhop|বেয়াদব
beyadob|বেয়াদব
beyadop|বেয়াদব
beye|বেয়ে
bgp|বিজিপি
bhaaj|ভাঁজ
bhab|ভাব
bhaba|ভাবে
bhabe|ভাবে
bhabi|ভাবী
bhag|ভাগ
bhaggo|ভাগ্য
bhai|ভাই
bhaj|ভাঁজ
bhalo|ভালো
bhanglo|ভাঙলো
bharami|ভাঁড়ামী
bhari|ভারী
bharot|ভারত
bharoter|ভারতের
bharprapto|ভারপ্রাপ্ত
bhasa|ভাষা
bhaskorjo|ভাস্কর্য
bhat|ভাত
bhebe|ভেবে
bheja|ভেজা
bhenge|ভেঙে
bhese|ভেসে
bhijai|ভিজিয়ে
bhije|ভিঁজে
bhijey|ভিজে
bhijiye|ভিজিয়ে
bhirbe|ভিরবে
bhison|ভীষণ
bhitor|ভিতরে
bhitore|ভিতরে
bhitorey|ভিতরে
bhoda|ভোদা
bhodai|ভোদাই
bhog|ভোগ
bhoi|ভয়
bhongakur|ভগাঙ্কুর
bhor|ভোর
bhora|ভরা
bhorat|ভরাট
bhore|ভরে
bhoriye|ভরিয়ে
bhorse|ভরছে
bhorti|ভর্তি
bhoy|ভয়
bhoyanok|ভয়ানক
bhoye|ভয়
bhul|ভুল
bhumi|ভূমি
bhuter|ভূতের
bi|বি
biadop|বেয়াদব
bibek|বিবেক
bibhager|বিভাগের
bibhinno|বিভিন্ন
bicar|বিচার
bichanai|বিছানায়
bichanay|বিছানায়
bichi|বিচি
bichir|বিচির
bichitro|বিচিত্র
bidai|বিদায়
bidarok|বিদারক
bideshe|বিদেশে
bidesher|বিদেশের
bidesi|বিদেশি
bidhormi|বিধর্মী
bidhormirai|বিধর্মীরাই
bidyaloyer|বিদ্যালয়ের
bigganider|বিজ্ঞানীদের
bihit|বিহিত
bikale|বিকালে
bikel|বিকেল
bikele|বিকেলে
bikri|বিক্রি
bilas|বিলাস
biman|বিমান
binakarne|বিনাকারণে
bipod|বিপদ
bipode|বিপদে
bipokkhe|বিপক্ষে
biraj|বিরাজ
biral|বিড়াল
birjo|বীর্য
birjogulo|বীর্যগুলো
birodhi|বিরোধী
birokti|বিরক্তি
birokto|বিরক্ত
biroti|বিরতি
biruddhe|বিরুদ্ধে
birudhe|বিরুদ্ধে
bisal|বিশাল
bisana|বিছানা
bisanai|বিছানায়
bisanay|বিছানায়
bisar|বিচার
bishakto|বিষাক্ত
bishal|বিশাল
bishesh|বিশেষ
bishoy|বিষয়
bishoye|বিষয়ে
bishoygulo|বিষয়গুলো
bishoyti|বিষয়টি
bisoi|বিষয়
bissas|বিশ্বাস
bisshes|বিশেষ
bisshobiddaloyer|বিশ্ববিদ্যালয়ের
bisshojoyi|বিশ্বজয়ী
bisso|বিশ্ব
bissram|বিশ্রাম
bistarito|বিস্তারিত
bithorey|ভিতরে
bitlami|বিটলামি
bivag|বিভাগ
bivager|বিভাগের
bivinno|বিভিন্ন
biye|বিয়ে
biyer|বিয়ের
bla|ব্লা
black|কালো
ble|বলে
bleeding|ব্লিডিং
bli|বলি
block|ব্লক
blouse|ব্লাউজ
blowjob|বব্লোজব
blowse|ব্লাউজ
blv|বিশ্বাস
bnp|বিএনপি
bnpr|বিএনপির
board|বোর্ড
bobo|বোবো
bochor|বছর
bochore|বছরে
bochorer|বছরের
boddo|বড্ড
bodh|বোধ
bodher|বোধের
bodhoi|বোধহয়
bodhoy|ববোধহয়
bodlalo|বদলালো
bodle|বদলে
bodnam|বদনাম
bodol|বদল
bodrul|বদরুল
body|বডি
boen|বোন
bohudiner|বহুদিনের
boi|বই
boja|বোঝা
boje|বোজে
bojen|বোজেন
bojha|বোঝা
bojhai|বোঝাই
bojhano|বোঝানো
bojhar|বোঝার
bojropat|বজ্রপাত
bojtam|বুঝতাম
boka|বোকা
bokachoda|বোকাচোদা
bokacuda|বোকাচোদা
boke|বকে
bokkho|বক্ষ
bokkhodoy|বক্ষদ্বয়
boktobbo|বক্তব্য
bol|বল
bola|বলা
bolar|বলার
bolate|বলাতে
bolbe|বলবে
bolbo|বলবো
bolce|বলছে
bolcen|বলছেন
bolche|বলছে
bolchilo|বলছিলো
bolci|বলছি
bole|বলে
bolechen|বলেছেন
bolechi|বলেছি
bolei|বলেই
bolen|বলেন
bolese|বলেছে
boley|বলে
boli|বলি
bolisna|বলিস না
bollam|বললাম
bolle|বললে
bollen|বললেন
bolleo|বললেও
bollo|বলল
bolo|বলো
bolse|বলছে
bolsi|বলছি
bolso|বলছো
bolta|বলতে
boltam|বলতাম
bolte|বলতে
boltei|বলতেই
bolten|বলতেন
boltesey|বলছে
boltesi|বলছি
boltesis|বলছিস
bolto|বলতো
bomb|বোমা
bomi|বমি
bon|বোন
bonder|বোনদের
bondho|বন্ধ
bondhu|বন্ধু
bondhur|বন্ধুর
bonedi|বনেদি
boner|বোনের
bonera|বোনেরা
book|ববই
bor|বর
bora|বড়া
borbor|বর্বর
border|সীমানা
bore|বরে
bori|বড়ি
boring|বোরিং
boro|বড়
boroboro|বড় বড়
borolok|বড়লোক
boroluk|বড়লোক
boroncho|বরঞ্চ
bortoman|বর্তমান
bortomane|বর্তমানে
bosar|বসার
bose|বসে
boseche|বসেছে
boshai|বসিয়ে
boshar|বসার
boshe|বসে
bosheche|বসেছে
boshiye|বসিয়ে
boshlam|বসলাম
boshlo|বসলো
bosho|বসো
boshte|বসতে
bosi|বসি
boso|বসো
bosobash|বসবাস
bosor|বছর
bosore|বছরে
bossor|বছর
bota|বোটা
bou|বউ
bouddhi|বুদ্ধি
boudi|বৌদি
boudider|বৌদিদের
boudike|বৌদিকে
boudio|বৌদিও
boudir|বৌদির
bouke|বউকে
boundary|সীমানা
bow|বউ
bower|বউয়ের
bowke|বউকে
bowta|বউটা
boycott|বয়কট
boye|বয়ে
boykote|বয়কট
boyos|বয়স
boyoser|বয়সের
boyosh|বয়স
boyoshe|বয়সে
boyosher|বয়সের
boyoshey|বয়সেই
boyoshi|বয়সী
boyosi|বয়সী
bra|ব্রা
branch|শাখা
brihoshpotibar|বৃহস্পতিবার
brihospoti|বৃহস্পতি
brihospotibar|বৃহস্পতিবার
brilliant|বুদ্ধিমান
british|ব্রিটিশ
britti|বৃত্তি
brta|বার্তা
bt|কিন্তু
buddhi|বুদ্ধি
buddhist|বৌদ্ধ
budha|বুধা
budhbar|বুধবার
budhijibi|বুদ্ধিজীবী
buja|বোঝা
bujabo|বোজাবো
bujai|বোঝাই
bujba|বুঝবে
bujbi|বুঝবি
buje|বুজে
bujese|বুঝেছে
bujha|বোঝা
bujhai|বোঝায়
bujhar|বোঝার
bujhben|বুঝবেন
bujhbena|বুঝববেনা
bujhe|বুঝে
bujhecho|বুঝেছো
bujhen|বুঝেন
bujhena|বোঝেনা
bujhi|বুঝি
bujhina|বুঝিনা
bujhlam|বুঝলাম
bujhtam|বুঝতাম
bujhte|বুঝতে
bujhtei|বুঝতেই
bujhye|বুঝিয়ে
buji|বুঝি
bujla|বুঝলে
bujlam|বুঝলাম
bujlan|বুঝলেন
bujli|বুঝলি
bujte|বুঝতে
bujtei|বুজতেই
buk|বুক
bukdutote|বুকদুটোতে
buke|বুকে
buker|বুকের
bulacchi|বোলাচ্ছি
bulassi|বুলাচ্ছি
bule|ভুলে
buliye|চবুলিয়ে
burma|বার্মা
buro|বুড়ো
bus|বাস
business|ব্যবসা
busy|ব্যস্ত
but|কুকিন্তু
butpari|বাটপারি
butt|পাছা
byabohar|ব্যবহার
byabostha|ব্যবস্থা
byaktider|ব্যক্তিদের
byapare|ব্যাপারে
bystho|ব্যস্ত
